,text,embeddings
67,"Sport holds a huge influence over fashion; you need only think of the tennis skirt or the cricket jumper to confirm this. However, just when I thought we'd seen every athleisure trend there was, along comes motocross. It's hard to pinpoint where this aesthetic might have come from; avid Spotify listeners and pop-culture vultures may be familiar with Spanish singer Rosalía's hit album Motomami, which was released in early 2022. From there, we have sightings of both Bella and Gigi Hadid in what is best described as Formula 1 apparel over the summer. Now, it's time to grab your colour-block leathers, boilersuits and checkerboard boots and to start your engines…","[ 0.03094244  0.02404389 -0.04234381 ...  0.03039402  0.00777891
 -0.00613004]"
68,"If, however, the idea of a yellow all-in-one feels somewhat daunting, there is an easy way to tap into the motocross energy. ""The moto jacket is on our S/S 23 wish list following the vintage-inspired options that walked the runway this season,"" says Page.","[-0.00064134  0.05120668 -0.04768604 ...  0.01406824 -0.00229163
 -0.02870894]"
69,"""Leather jackets are leading the nouveau grunge trend, with Masha Popova, Knwls and Gucci bringing strong seasonal updates,"" says Gramston. See? Easy!","[ 0.01262605  0.04987681 -0.03507632 ... -0.002563    0.0088475
 -0.03028541]"
70,"""We saw a complete shift away from the high-octane glamour that has dominated the space for the past few seasons to a more understated approach that embraces nudity in a subtle and chic way, which was a consistent theme throughout the shows. We have seen customers’ appetite for this mood during Fashion Month, with searches for 'sheer tops' increasing by 600% compared to the previous month. Saint Laurent owned this trend by showing 10 revealing dresses on the runway, and Valentino paired nude bodysuits with bright pop colours. We also saw a 400% increase in searches for transparent heels during Fashion Month and have heavily backed this moment by investing in 18 see-through styles for the upcoming season,"" says Page. ","[ 0.06519867  0.03752442 -0.02138599 ...  0.02213354 -0.01742833
 -0.02233876]"
71,"With this nuanced approach to designing with translucent fabrics comes a better understanding of where to reveal and, in tandem, where to conceal. ACNE Studios' sheer gown worn over jeans with subtle slouch showcases just how versatile this trend can truly be, while Fe Noel's sheer sequin maxi dress complete with long sleeves finished with brilliant feathered cuffs presents another way to interpret this idea.","[ 0.04120203  0.01543983  0.00072078 ... -0.01417869  0.00356654
  0.01205006]"
72,"""Sheer fashion dominated the trends conversations for S/S 23 as seen at Simone Rocha, Christopher Kane, Rick Owens and Molly Goddard. We loved Molly Goddard's romantic take on the trend, featuring her signature ruffle details on sheer orange midi dresses,"" says Wiggins.","[ 0.08236239  0.02204219 -0.00501957 ... -0.00714206 -0.00997205
 -0.02035883]"
73,"I'm going to make a bold claim: Jewellery is the most impactful way to update your look. Whatever the outfit (or season, for that matter!), jewellery presents an accessible way to make your existing wares feel more current, and new for spring is a piece that will make your basic tops and shirts feel significantly fresher. Long, drop-like earrings that reached the shoulder were easily the most prevalent jewellery trend out there and came in various guises. From boho threads to polished pearls, I very much enjoyed watching these earrings flick in time to the model's walk. ","[ 0.02454104  0.02047743 -0.03556326 ... -0.02309354  0.02015871
  0.02019855]"
74,"I'm not one for necklaces, statement rings or wrist stacks, but earrings? Earrings I can get on board with. In my opinion, nothing sets an outfit off better than a shoulder-skimming pair. Fortunately, it was this particular accessory that so many designers used to elevate their designs for S/S 23. Whether you opt for an elegant bejewelled drop like Magda Butrym, Ralph Lauren and Nensi Dojaka, or a more extravagant pair like those seen at Louis Vuitton or Tory Burch, it's time to give your plain gold hoops a rest and go big for the season ahead, says Dawes.","[ 0.04949061 -0.01669563  0.00258601 ... -0.01871777  0.00951443
  0.00469565]"
75,"Last season, minis and maxis reigned supreme, but now, it would appear that designers are looking to fill the space in between, and a train is, evidently, the most fabulous way to do so. Jaws dropped when Huishan Zhang's bubblegum shift made its way down the runway. Without a doubt, it was one of my favourite looks from the entirety of Fashion Month. ","[ 0.04254242  0.0287805   0.00377955 ... -0.00362055 -0.01345542
 -0.02047431]"
76,"""If there's one dress update you consider for 2023, it's this: a dress with a train. Yes, you read that right. Formerly reserved for brides or the red carpet, trains are big news for spring/summer thanks to designers like Bally and Victoria Beckham, who showcased everything from minis to maxis with cascading details. Choose an ice-cream shade (I was particularly taken with the pistachio at ACNE and soft orange sorbet at Giambattista Valli) and a slinky material for maximum impact before adding polished accessories. I can't wait to dip my toe into this trend ahead of wedding season and will be choosing a style with an interesting neckline to keep things on the contemporary side,"" says Poppy Nash, managing editor at Who What Wear UK.","[ 0.03816662  0.07498129  0.01361051 ...  0.01044512 -0.0137795
 -0.0109846 ]"
77,"If lime green isn't your vibe, rest assured there was another bold hue that practically jumped off the runway and my screen, which was evident from the moment I began this lengthy research process. Striking red ensembles, where shades of saffron were styled top to toe, were present in the form of tights and tuxedos at Ferragamo, sharp tailoring at Alexander McQueen, impressive fringing at Bottega Veneta and tube dresses and leggings at Alaïa.","[ 0.05409484  0.00314916  0.00438581 ...  0.00855767 -0.02307977
 -0.02239257]"
78,"""As someone who can clearly (not fondly) remember their first bra fitting, which resulted in the teary-eyed purchase of what could only be described at the time as 'over-shoulder boulder holders,' it's surprising that I'd now find myself backing this brassiere-revealing trend. Or perhaps that's the point! Lingerie styles for big (and small) cups have improved vastly over the past 10 years, so why not celebrate it?"" says Almassi.","[ 0.03559823 -0.04247654  0.01911142 ... -0.01095852 -0.0257333
 -0.01767845]"
79,"""Combine this design shift with the fact that we're moving into a fifth wave of feminism where many predisposed notions and ideologies tied up with previous movements are being flipped on their head, and this is less burn-the-bra and more for-goodness-sake-what-does-it-matter-if-I-show-my-bra? Maybe it's that I'm getting older and giving less of a damn, perhaps it's the ongoing body confidence messaging I see on social media, or maybe it's that we should all be allowed to wear what we want, when we want. Whatever the reason, I'm into it,"" adds Almassi.","[ 0.07606263  0.00523501 -0.00898041 ...  0.01845973 -0.03537996
 -0.02481729]"
80,"Thought party season ended at the stroke of midnight on December 31? Think again! The spring/summer runways bear a striking resemblance to all of my favourite coming-of-age movies from the '80s—Sixteen Candles, Pretty in Pink… basically anything starring Molly Ringwald. Between frothy fabrications, high-shine lamé, lashings of leopard print, and the glorious return of the puffball hemline, this season invites you to play dress-up and not take yourself too seriously in the process.","[ 0.01986296  0.0423074  -0.0205657  ...  0.00281452 -0.00285575
 -0.02042228]"
81,"""This season, we saw the revival of the bubble skirt. Styled with printed snakeskin and powerful shoulders at Khaite, longer versions at Proenza Schouler reimagined with a low-waist silhouette and Simone Rocha's metallic mini bubble; these were all highlights,"" says Wiggins.","[ 0.07067288  0.04122585  0.00793513 ...  0.00957029 -0.00569828
 -0.06280147]"
